time,open,high,low,close,Volume
1673809200,20826.5,20912.5,20789.5,20873,4018.413
1673812800,20873,20937,20844.5,20911.5,3269.408
1673816400,20911.5,20938.5,20873,20913,3884.211
1673820000,20913,20968.5,20743,20926.5,10244.915
1673823600,20926.5,20950.5,20855,20886.5,5127.859
1673827200,20886.5,21017,20785.5,20982.5,9287.398
1673830800,20982.5,21347.5,20933,21196,31000.817
1673834400,21196,21452,21140,21221,22613.385
1673838000,21221,21243,21048,21091.5,11231.146
1673841600,21091.5,21177.5,21055.5,21163,5130.543
1673845200,21163,21227.5,21134.5,21199,5405.233
1673848800,21199,21276.5,21117,21165.5,9041.794
1673852400,21165.5,21169.5,21078,21121,7584.126
1673856000,21121,21123,20658,20757.5,28505.335
1673859600,20757.5,20854.5,20726.5,20839.5,8064.756
1673863200,20839.5,20916,20810.5,20856.5,5275.656
1673866800,20856.5,20870.5,20791,20825.5,4655.126
1673870400,20825.5,20876,20787,20797.5,3888.425
1673874000,20797.5,20881.5,20781.5,20838.5,4205.179
1673877600,20838.5,20900,20766,20859,6650.054
1673881200,20859,21063.5,20620.5,20995,27481.462
1673884800,20995,21052,20919,21003,8516.778
1673888400,21003,21183,20990,21104.5,12099.475
1673892000,21104.5,21297,21056.5,21287.5,10179.487
1673895600,21287.5,21424.5,21226,21315,13704.742
1673899200,21315,21480,21224,21293,13166.45
1673902800,21293,21295,21052,21140,12661.804
1673906400,21140,21231.5,21138,21193,5129.543
1673910000,21193,21230,21104,21194,5414.082
1673913600,21194,21304,21066.5,21115,9313.502
1673917200,21115,21150.5,20843,21046.5,12678.335
1673920800,21046.5,21112.5,20990,21105,5437.562
1673924400,21105,21174.5,21070,21130.5,5262.539
1673928000,21130.5,21238.5,21108,21162.5,6925.853
1673931600,21162.5,21190.5,21135.5,21154,4081.969
1673935200,21154,21158.5,21071,21079.5,4782.678
1673938800,21079.5,21182,21067,21139,5850.543
1673942400,21139,21213.5,21134,21203,5677.312
1673946000,21203,21251.5,21146.5,21178.5,5600.855
1673949600,21178.5,21181,21086.5,21134,5060.491
1673953200,21134,21239.5,21106.5,21224.5,5789.93
1673956800,21224.5,21350.5,21198,21257,11880.43
1673960400,21257,21271.5,21182,21235.5,4989.87
1673964000,21235.5,21620,21060.5,21286,43760.202
1673967600,21286,21394,21030.5,21183.5,18724.638
1673971200,21183.5,21248,21086,21165.5,9575.688
1673974800,21165.5,21248.5,21089.5,21229,6720.169
1673978400,21229,21419,21193.5,21360,9037.161
1673982000,21360,21384.5,21288.5,21339.5,5113.757
1673985600,21339.5,21398,21266.5,21388,4702.163
1673989200,21388,21410.5,21278,21310.5,4452.55
1673992800,21310.5,21337.5,21209,21232,4717.931
1673996400,21232,21276.5,21126.5,21133,7915.977
1674000000,21133,21243.5,21109,21207,5660.201
1674003600,21207,21266,21181.5,21247.5,4784.6
1674007200,21247.5,21355,21157.5,21295.5,8092.458
1674010800,21295.5,21378,21262,21263,5741.854
1674014400,21263,21304.5,21234.5,21283.5,4708.794
1674018000,21283.5,21321,21260.5,21309.5,4745.308
1674021600,21309.5,21312.5,21253,21266,4432.716
1674025200,21266,21308.5,21253,21308.5,3505.875
1674028800,21308.5,21315,21216,21250.5,5508.399
1674032400,21250.5,21285,21159.5,21233.5,8994.743
1674036000,21233.5,21256.5,21170,21185.5,4516.763
1674039600,21185.5,21237.5,21176.5,21208.5,3955.46
1674043200,21208.5,21294,21206.5,21261.5,4603.457
1674046800,21261.5,21477.5,21197.5,21406,28385.344
1674050400,21406,21661.5,21318.5,21424,32045.071
1674054000,21424,21566,20836,21041.5,38604.559
1674057600,21041.5,21041.5,20408.5,20859.5,60850.905
1674061200,20859.5,21138,20750.5,20890,36270.654
1674064800,20890,21064,20843.5,20937,11676.772
1674068400,20937,20983,20884.5,20904,4359.006
1674072000,20904,20939.5,20673.5,20738,7820.602
1674075600,20738,20843.5,20722,20785.5,3619.153
1674079200,20785.5,20818.5,20634.5,20815.5,6101.588
1674082800,20815.5,20820,20650.5,20683.5,6372.045
1674086400,20683.5,20771,20674.5,20702,5131.89
1674090000,20702,20780.5,20686,20721.5,5348.35
1674093600,20721.5,20780,20667,20767,5146.623
1674097200,20767,20820.5,20748,20749,4958.734
